taxon,ranges
Hypsiscopus_matannensis_MVZ_239628,1
Hypsiscopus_plumbea_KU_328517,2
Gyiophis_salweenensis_LSUHC_12960,1
Myanophis_thanlyinensis,1
Myrrophis_chinensis_MVZ_224184,1
Myrrophis_bennettii_LSUHC_4255,2
Enhydris_chanardi_YPM_15033,1
Enhydris_subtaeniata_FMNH_259245,1
Enhydris_enhydris_LSUHC_3813,1
Enhydris_innominata_ROM_37893,1
Enhydris_longicauda_FMNH_259259,1
Bitia_hydroides_LSUHC_10516,2
Fordonia_leucobalia_CAS_211970,2
Cantoria_violacea_CAS_222792,2
Gerarda_prevostiana_CAS_204972,2
Erpeton_tentaculatum_FMNH_259080,1
Myron_richardsonii_SAMA_55494,2
Pseudoferania_polylepis_BPBM_43422,1
Phytolopsis_punctata_FMNH_250112,1
Raclitia_indica_LSUHC_11748,1
Subsessor_bocourti_FMNH_257251,2
Homalopsis_nigroventralis_NCSM_76560,1
Homalopsis_mereljcoxi_FMNH_259088,1
Homalopsis_buccata_LSUHC_10349,1
Homalopsis_semizonata_CAS_242725,1
Cerberus_australis_MAGNT_R29853,0
Cerberus_rynchops_CAS_229753,0
Cerberus_dunsoni_USNM_507562,2
Cerberus_microlepis_USNM_579918,1
Cerberus_schneiderii_KU_326648,0
